Rooms,Type,Price,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname
4,h,2800000.0,3.3,4.0,3.0,1.0,327.0,254.0,1910.0,Southern Metropolitan
3,h,2100000.0,3.3,2.0,1.0,1.0,120.0,123.0,1900.0,Southern Metropolitan
3,h,2000000.0,3.3,3.0,1.0,1.0,238.0,131.0,1890.0,Southern Metropolitan
1,u,442500.0,3.3,1.0,1.0,0.0,0.0,34.0,1970.0,Southern Metropolitan
4,h,4735000.0,3.3,4.0,2.0,1.0,330.0,207.0,1910.0,Southern Metropolitan
4,h,2140000.0,3.3,3.0,2.0,1.0,183.0,145.0,1880.0,Southern Metropolitan
2,h,980000.0,3.3,2.0,1.0,0.0,79.0,68.0,1890.0,Southern Metropolitan
3,h,1740000.0,3.3,3.0,2.0,2.0,147.0,134.0,1890.0,Southern Metropolitan
1,h,985000.0,3.3,1.0,1.0,0.0,81.0,54.0,1900.0,Southern Metropolitan
4,h,2000000.0,6.4,3.0,2.0,4.0,853.0,263.0,1930.0,Northern Metropolitan
4,h,1717500.0,6.4,4.0,2.0,1.0,599.0,203.0,1925.0,Northern Metropolitan
5,h,2840000.0,6.4,5.0,4.0,4.0,809.0,165.0,1910.0,Northern Metropolitan
2,u,525500.0,6.4,2.0,1.0,1.0,88.0,60.0,1960.0,Northern Metropolitan
2,t,805000.0,6.4,2.0,2.0,3.0,155.0,140.0,2004.0,Northern Metropolitan
4,h,1830000.0,6.4,4.0,2.0,2.0,606.0,112.0,1970.0,Northern Metropolitan
4,h,2100000.0,6.4,4.0,2.0,2.0,575.0,271.0,2008.0,Northern Metropolitan
3,h,865000.0,6.4,3.0,1.0,1.0,180.0,131.0,2010.0,Northern Metropolitan
2,u,390000.0,6.4,2.0,1.0,1.0,0.0,60.0,1960.0,Northern Metropolitan
2,u,512000.0,6.4,2.0,1.0,1.0,0.0,61.0,1965.0,Northern Metropolitan
4,h,1900000.0,6.4,4.0,2.0,2.0,556.0,272.0,1930.0,Northern Metropolitan
4,h,1950000.0,6.4,4.0,2.0,3.0,589.0,210.0,1920.0,Northern Metropolitan
3,h,520000.0,13.8,3.0,2.0,1.0,352.0,242.0,2015.0,Western Metropolitan
5,h,1525000.0,13.8,5.0,3.0,3.0,729.0,268.0,2005.0,Western Metropolitan
2,t,720000.0,13.8,2.0,1.0,2.0,292.0,125.0,2013.0,Western Metropolitan
3,h,1120000.0,13.8,3.0,1.0,2.0,506.0,120.0,1930.0,Western Metropolitan
4,h,1780000.0,13.8,4.0,3.0,6.0,1057.0,220.0,1962.0,Western Metropolitan
3,u,630000.0,13.8,2.0,1.0,2.0,311.0,94.0,1955.0,Western Metropolitan
3,h,660000.0,13.8,3.0,1.0,1.0,602.0,123.0,1955.0,Western Metropolitan
2,u,580000.0,13.8,2.0,1.0,1.0,225.0,93.0,1988.0,Western Metropolitan
3,h,1335000.0,13.8,3.0,1.0,4.0,777.0,22.0,1953.0,Western Metropolitan
2,u,510000.0,13.8,2.0,1.0,1.0,127.0,76.0,1990.0,Western Metropolitan
2,u,425000.0,13.8,2.0,1.0,2.0,115.0,57.0,1980.0,Western Metropolitan
2,u,391000.0,13.8,2.0,1.0,1.0,0.0,65.0,1965.0,Western Metropolitan
4,h,845000.0,13.8,4.0,1.0,2.0,745.0,130.0,1950.0,Western Metropolitan
3,u,730000.0,13.8,3.0,2.0,1.0,69.0,141.0,2014.0,Western Metropolitan
2,u,447000.0,13.8,2.0,1.0,1.0,137.0,77.0,1990.0,Western Metropolitan
3,h,678000.0,13.8,3.0,1.0,2.0,606.0,87.0,1950.0,Western Metropolitan
2,u,580000.0,13.8,2.0,2.0,1.0,175.0,76.0,2013.0,Western Metropolitan
3,h,840000.0,13.8,3.0,2.0,2.0,534.0,136.0,1965.0,Western Metropolitan
3,u,577000.0,13.8,3.0,2.0,1.0,205.0,113.0,2007.0,Western Metropolitan
2,h,857000.0,13.8,2.0,2.0,1.0,675.0,100.0,1950.0,Western Metropolitan
3,u,730000.0,13.8,3.0,2.0,1.0,70.0,3.0,2014.0,Western Metropolitan
2,h,535600.0,13.8,2.0,1.0,1.0,154.0,91.0,1996.0,Western Metropolitan
5,h,1085000.0,11.1,5.0,3.0,6.0,592.0,251.0,1965.0,Western Metropolitan
3,h,781000.0,11.1,3.0,1.0,2.0,533.0,117.0,1970.0,Western Metropolitan
2,t,421000.0,11.1,2.0,1.0,1.0,77.0,77.0,2009.0,Western Metropolitan
3,h,683000.0,11.1,3.0,1.0,2.0,534.0,167.0,1967.0,Western Metropolitan
3,h,720000.0,11.1,3.0,2.0,1.0,0.0,130.0,2012.0,Western Metropolitan
3,h,588000.0,11.1,3.0,1.0,1.0,328.0,118.0,1970.0,Western Metropolitan
3,h,710000.0,11.1,3.0,1.0,3.0,540.0,116.0,1960.0,Western Metropolitan
4,h,875000.0,11.1,3.0,1.0,4.0,559.0,169.0,1965.0,Western Metropolitan
3,h,675000.0,11.1,3.0,2.0,2.0,171.0,109.0,2012.0,Western Metropolitan
3,h,708000.0,11.1,3.0,1.0,2.0,585.0,97.0,1960.0,Western Metropolitan
4,h,693000.0,11.1,4.0,2.0,4.0,315.0,170.0,2008.0,Western Metropolitan
3,h,620000.0,11.1,5.0,2.0,2.0,276.0,100.0,2010.0,Western Metropolitan
3,h,728500.0,11.1,3.0,1.0,1.0,531.0,157.0,1960.0,Western Metropolitan
3,h,931000.0,11.1,3.0,2.0,1.0,590.0,160.0,1950.0,Western Metropolitan
3,h,815000.0,11.1,3.0,2.0,3.0,555.0,130.0,1960.0,Western Metropolitan
4,h,1200000.0,11.1,4.0,1.0,4.0,633.0,158.0,1960.0,Western Metropolitan
2,u,292000.0,11.1,2.0,1.0,1.0,153.0,70.0,1970.0,Western Metropolitan
2,u,599000.0,6.3,2.0,1.0,1.0,0.0,76.0,1964.0,Southern Metropolitan
3,u,995000.0,6.3,3.0,2.0,2.0,0.0,100.0,1998.0,Southern Metropolitan
3,t,1205000.0,6.3,3.0,2.0,2.0,101.0,105.0,2000.0,Southern Metropolitan
3,h,1939000.0,6.3,3.0,2.0,2.0,296.0,150.0,1889.0,Southern Metropolitan
3,h,1870000.0,6.3,3.0,1.0,1.0,217.0,116.0,1888.0,Southern Metropolitan
3,t,1918000.0,6.3,3.0,2.0,2.0,0.0,165.0,1995.0,Southern Metropolitan
3,h,2050000.0,6.3,3.0,2.0,1.0,205.0,116.0,1910.0,Southern Metropolitan
3,u,735000.0,6.3,3.0,2.0,1.0,2113.0,14.0,1970.0,Southern Metropolitan
1,h,1435000.0,6.3,2.0,2.0,1.0,144.0,107.0,1900.0,Southern Metropolitan
1,u,280000.0,6.3,1.0,1.0,1.0,0.0,38.0,1975.0,Southern Metropolitan
2,u,592500.0,6.3,2.0,1.0,1.0,0.0,73.0,1970.0,Southern Metropolitan
2,h,1210000.0,6.3,2.0,1.0,0.0,249.0,96.0,1910.0,Southern Metropolitan
4,h,2801000.0,6.3,4.0,2.0,2.0,624.0,222.0,1900.0,Southern Metropolitan
3,h,1800000.0,6.3,3.0,2.0,2.0,405.0,121.0,1910.0,Southern Metropolitan
4,h,2200000.0,6.3,4.0,1.0,2.0,495.0,163.0,1900.0,Southern Metropolitan
6,h,5525000.0,6.3,5.0,3.0,4.0,1491.0,516.0,1935.0,Southern Metropolitan
1,u,440000.0,6.3,1.0,1.0,1.0,0.0,53.0,1970.0,Southern Metropolitan
3,h,1300000.0,6.3,2.0,1.0,2.0,212.0,106.0,1900.0,Southern Metropolitan
2,u,704000.0,6.3,2.0,1.0,1.0,0.0,74.0,1969.0,Southern Metropolitan
2,u,620000.0,6.3,3.0,1.0,1.0,0.0,98.0,1970.0,Southern Metropolitan
3,h,1900000.0,6.3,3.0,1.0,2.0,328.0,108.0,1900.0,Southern Metropolitan
2,u,710000.0,6.3,2.0,1.0,1.0,2471.0,80.0,1970.0,Southern Metropolitan
2,u,598000.0,6.3,2.0,1.0,1.0,0.0,88.0,1970.0,Southern Metropolitan
3,h,1285000.0,6.3,3.0,1.0,2.0,186.0,80.0,1920.0,Southern Metropolitan
2,u,520000.0,6.3,1.0,1.0,1.0,0.0,76.0,1970.0,Southern Metropolitan
4,h,3625000.0,6.3,4.0,1.0,2.0,709.0,251.0,1900.0,Southern Metropolitan
4,h,4200000.0,6.3,4.0,3.0,3.0,563.0,333.0,2000.0,Southern Metropolitan
3,t,1101000.0,6.3,3.0,1.0,2.0,103.0,3.0,2000.0,Southern Metropolitan
3,h,3512500.0,6.3,3.0,2.0,2.0,617.0,285.0,1998.0,Southern Metropolitan
3,u,869000.0,6.3,2.0,1.0,1.0,0.0,91.0,1940.0,Southern Metropolitan
1,u,567000.0,6.3,1.0,1.0,1.0,0.0,53.0,2013.0,Southern Metropolitan
3,h,940000.0,5.9,3.0,1.0,2.0,298.0,108.0,1920.0,Western Metropolitan
2,u,467000.0,5.9,2.0,1.0,1.0,0.0,62.0,1980.0,Western Metropolitan
3,h,1380000.0,5.9,3.0,2.0,2.0,277.0,174.0,1910.0,Western Metropolitan
2,u,490000.0,5.9,2.0,1.0,1.0,423.0,62.0,1970.0,Western Metropolitan
4,h,1850000.0,5.9,4.0,3.0,1.0,478.0,270.0,1900.0,Western Metropolitan
3,h,971000.0,5.9,3.0,2.0,2.0,285.0,128.0,1900.0,Western Metropolitan
2,h,710000.0,5.9,2.0,1.0,1.0,214.0,77.0,1890.0,Western Metropolitan
6,h,2425000.0,5.9,6.0,3.0,2.0,1014.0,435.0,1887.0,Western Metropolitan
2,h,750000.0,5.9,2.0,1.0,1.0,226.0,92.0,1920.0,Western Metropolitan
2,h,1053000.0,5.9,2.0,1.0,1.0,269.0,109.0,1900.0,Western Metropolitan
3,h,1377000.0,5.9,3.0,1.0,1.0,417.0,168.0,1900.0,Western Metropolitan
3,h,970000.0,5.9,3.0,1.0,2.0,350.0,125.0,1904.0,Western Metropolitan
2,h,751000.0,5.9,2.0,1.0,1.0,118.0,79.0,1890.0,Western Metropolitan
2,h,950000.0,5.9,2.0,1.0,1.0,173.0,102.0,1900.0,Western Metropolitan
2,u,685000.0,5.9,2.0,1.0,2.0,228.0,90.0,1995.0,Western Metropolitan
3,h,1230000.0,5.9,4.0,1.0,2.0,594.0,148.0,1960.0,Western Metropolitan
2,h,770000.0,5.9,2.0,1.0,1.0,226.0,87.0,1900.0,Western Metropolitan
4,h,890000.0,5.9,4.0,1.0,1.0,300.0,185.0,1890.0,Western Metropolitan
3,h,1440000.0,5.9,3.0,1.0,1.0,487.0,131.0,1900.0,Western Metropolitan
3,h,1000000.0,5.9,3.0,2.0,2.0,440.0,120.0,1955.0,Western Metropolitan
3,h,1435000.0,5.9,3.0,2.0,2.0,532.0,147.0,1950.0,Western Metropolitan
1,u,390000.0,5.9,1.0,1.0,1.0,0.0,58.0,1972.0,Western Metropolitan
3,h,1425000.0,5.9,3.0,2.0,2.0,495.0,139.0,1920.0,Western Metropolitan
4,h,1340000.0,5.9,3.0,2.0,2.0,683.0,232.0,1978.0,Western Metropolitan
3,h,955000.0,5.9,3.0,1.0,1.0,263.0,117.0,1910.0,Western Metropolitan
4,h,1100000.0,5.9,4.0,2.0,5.0,559.0,195.0,1920.0,Western Metropolitan
2,u,432000.0,5.9,2.0,1.0,1.0,0.0,62.0,1978.0,Western Metropolitan
4,h,1640000.0,5.9,4.0,3.0,2.0,562.0,204.0,1890.0,Western Metropolitan
6,h,1430000.0,5.9,4.0,2.0,1.0,461.0,286.0,1900.0,Western Metropolitan
2,u,610000.0,5.9,2.0,1.0,1.0,301.0,104.0,1995.0,Western Metropolitan
3,h,940000.0,5.9,3.0,3.0,1.0,491.0,127.0,1950.0,Western Metropolitan
3,h,890000.0,5.9,3.0,1.0,1.0,242.0,110.0,1920.0,Western Metropolitan
3,h,1180000.0,5.9,3.0,2.0,2.0,617.0,149.0,1930.0,Western Metropolitan
4,h,1480000.0,5.9,4.0,2.0,2.0,597.0,180.0,1939.0,Western Metropolitan
2,t,865000.0,5.9,2.0,2.0,1.0,146.0,132.0,2015.0,Western Metropolitan
2,u,442000.0,5.9,2.0,1.0,1.0,0.0,62.0,1975.0,Western Metropolitan
3,h,1037500.0,5.9,3.0,1.0,2.0,506.0,110.0,1920.0,Western Metropolitan
3,t,1050000.0,5.9,3.0,2.0,2.0,318.0,160.0,2013.0,Western Metropolitan
2,u,440000.0,5.9,2.0,1.0,1.0,0.0,65.0,1970.0,Western Metropolitan
4,h,1430000.0,5.9,4.0,2.0,0.0,418.0,158.0,1900.0,Western Metropolitan
3,h,1130000.0,5.9,3.0,2.0,1.0,272.0,157.0,1900.0,Western Metropolitan
3,h,1135000.0,5.9,3.0,1.0,1.0,296.0,104.0,1910.0,Western Metropolitan
4,h,950000.0,5.9,4.0,2.0,1.0,298.0,147.0,1920.0,Western Metropolitan
2,u,390000.0,5.9,2.0,1.0,1.0,1957.0,69.0,2012.0,Western Metropolitan
4,h,1345000.0,5.9,4.0,1.0,1.0,552.0,155.0,1920.0,Western Metropolitan
3,h,1381500.0,5.9,3.0,2.0,2.0,416.0,168.0,1900.0,Western Metropolitan
3,h,940000.0,5.9,3.0,2.0,2.0,285.0,172.0,2011.0,Western Metropolitan
3,h,995000.0,5.9,3.0,2.0,1.0,314.0,177.0,2010.0,Western Metropolitan
3,h,786000.0,5.9,3.0,2.0,1.0,576.0,120.0,1940.0,Western Metropolitan
2,h,705000.0,5.9,2.0,1.0,3.0,252.0,108.0,1910.0,Western Metropolitan
2,h,760000.0,5.9,2.0,1.0,1.0,124.0,77.0,1900.0,Western Metropolitan
3,t,1000000.0,5.9,3.0,2.0,2.0,200.0,144.0,2003.0,Western Metropolitan
3,h,1305000.0,5.9,2.0,1.0,1.0,278.0,166.0,1900.0,Western Metropolitan
3,h,1215000.0,5.9,3.0,1.0,1.0,452.0,175.0,1960.0,Western Metropolitan
2,u,545000.0,5.9,2.0,1.0,2.0,194.0,71.0,1900.0,Western Metropolitan
4,h,1705000.0,5.9,4.0,2.0,4.0,598.0,273.0,2012.0,Western Metropolitan
4,h,2650000.0,11.0,4.0,3.0,2.0,753.0,399.0,2015.0,Southern Metropolitan
3,h,1670000.0,11.0,3.0,2.0,2.0,599.0,220.0,1930.0,Southern Metropolitan
3,t,2050000.0,11.0,3.0,3.0,4.0,310.0,315.0,2014.0,Southern Metropolitan
3,h,1555000.0,11.0,3.0,2.0,2.0,731.0,149.0,1935.0,Southern Metropolitan
3,h,1100000.0,11.0,3.0,3.0,2.0,276.0,178.0,2004.0,Southern Metropolitan
3,h,1337000.0,11.0,3.0,1.0,2.0,583.0,112.0,1950.0,Southern Metropolitan
8,h,2950000.0,11.0,9.0,7.0,4.0,1472.0,618.0,2009.0,Southern Metropolitan
3,h,1518000.0,11.0,3.0,2.0,2.0,516.0,145.0,1920.0,Southern Metropolitan
3,h,1710000.0,11.0,3.0,1.0,2.0,806.0,101.0,1950.0,Southern Metropolitan
3,h,1655000.0,11.0,3.0,1.0,3.0,780.0,152.0,1940.0,Southern Metropolitan
4,h,1550000.0,11.0,4.0,2.0,2.0,780.0,180.0,1938.0,Southern Metropolitan
3,h,1662000.0,11.0,3.0,2.0,2.0,351.0,228.0,2006.0,Southern Metropolitan
3,h,1665000.0,11.0,3.0,2.0,3.0,702.0,145.0,1945.0,Southern Metropolitan
5,h,3510000.0,11.0,5.0,5.0,2.0,755.0,444.0,2015.0,Southern Metropolitan
3,t,900000.0,11.0,3.0,2.0,2.0,153.0,110.0,1990.0,Southern Metropolitan
5,h,2752000.0,11.0,6.0,4.0,2.0,1075.0,390.0,2010.0,Southern Metropolitan
3,h,1500000.0,11.0,3.0,2.0,2.0,710.0,139.0,1945.0,Southern Metropolitan
4,h,1800000.0,11.0,4.0,2.0,4.0,749.0,206.0,1950.0,Southern Metropolitan
3,h,1830000.0,11.0,3.0,2.0,3.0,724.0,168.0,1940.0,Southern Metropolitan
3,h,1415000.0,11.0,3.0,1.0,1.0,605.0,111.0,1950.0,Southern Metropolitan
2,h,1440000.0,11.0,2.0,1.0,1.0,687.0,104.0,1940.0,Southern Metropolitan
4,t,1250000.0,11.0,4.0,2.0,2.0,321.0,199.0,2007.0,Southern Metropolitan
5,h,1600000.0,11.0,5.0,3.0,4.0,700.0,266.0,1950.0,Southern Metropolitan
4,h,1860000.0,11.0,4.0,2.0,3.0,696.0,274.0,2000.0,Southern Metropolitan
4,h,1790000.0,11.0,4.0,2.0,2.0,514.0,240.0,1935.0,Southern Metropolitan
4,h,1950000.0,11.0,4.0,2.0,2.0,844.0,278.0,1940.0,Southern Metropolitan
3,h,1650000.0,11.0,3.0,1.0,1.0,697.0,164.0,1947.0,Southern Metropolitan
4,h,1200000.0,12.2,4.0,3.0,2.0,372.0,201.0,2016.0,Southern Metropolitan
2,h,1075000.0,12.2,2.0,1.0,2.0,695.0,114.0,1950.0,Southern Metropolitan
4,h,1500000.0,12.2,2.0,2.0,2.0,621.0,203.0,2000.0,Southern Metropolitan
2,t,700000.0,12.2,2.0,1.0,2.0,367.0,110.0,1970.0,Southern Metropolitan
3,h,761000.0,12.2,3.0,2.0,4.0,400.0,94.0,1950.0,Southern Metropolitan
3,h,1365000.0,12.2,3.0,1.0,1.0,792.0,792.0,1950.0,Southern Metropolitan
4,h,1100000.0,12.2,3.0,2.0,2.0,803.0,152.0,1970.0,Southern Metropolitan
2,u,690000.0,12.2,2.0,1.0,1.0,216.0,90.0,2003.0,Southern Metropolitan
3,h,1631000.0,12.2,3.0,2.0,3.0,782.0,215.0,1950.0,Southern Metropolitan
4,h,1500000.0,12.2,4.0,2.0,1.0,593.0,255.0,1930.0,Southern Metropolitan
5,h,1529500.0,12.2,5.0,3.0,2.0,585.0,317.0,2000.0,Southern Metropolitan
2,u,600000.0,12.2,2.0,1.0,1.0,153.0,80.0,1970.0,Southern Metropolitan
4,h,1240000.0,12.2,4.0,2.0,2.0,766.0,192.0,1950.0,Southern Metropolitan
2,u,700000.0,12.2,2.0,1.0,2.0,192.0,88.0,2007.0,Southern Metropolitan
2,h,1110000.0,12.2,2.0,1.0,1.0,586.0,86.0,1950.0,Southern Metropolitan
3,h,1305000.0,12.2,3.0,1.0,1.0,760.0,120.0,1960.0,Southern Metropolitan
3,h,855000.0,12.2,3.0,2.0,1.0,320.0,85.0,1958.0,Southern Metropolitan
3,t,900500.0,12.2,3.0,2.0,2.0,256.0,134.0,2012.0,Southern Metropolitan
3,h,1200000.0,12.2,3.0,2.0,2.0,839.0,198.0,1970.0,Southern Metropolitan
3,t,830000.0,12.2,2.0,1.0,2.0,212.0,130.0,2012.0,Southern Metropolitan
3,h,850000.0,10.5,3.0,1.0,1.0,593.0,118.0,1970.0,Western Metropolitan
3,h,750000.0,10.5,3.0,1.0,1.0,0.0,103.0,1980.0,Western Metropolitan
3,t,851000.0,10.5,3.0,3.0,1.0,557.0,181.0,2017.0,Western Metropolitan
4,h,1155000.0,10.5,3.0,2.0,2.0,569.0,225.0,2008.0,Western Metropolitan
3,h,680000.0,10.5,3.0,1.0,2.0,570.0,120.0,1970.0,Western Metropolitan
3,h,627500.0,10.5,3.0,1.0,1.0,550.0,143.0,1970.0,Western Metropolitan
4,h,950000.0,10.5,4.0,3.0,3.0,761.0,281.0,1970.0,Western Metropolitan
3,h,705000.0,10.5,3.0,1.0,1.0,581.0,106.0,1960.0,Western Metropolitan
4,h,1100000.0,10.5,4.0,3.0,2.0,873.0,395.0,1992.0,Western Metropolitan
3,h,892500.0,10.5,3.0,1.0,1.0,586.0,118.0,1965.0,Western Metropolitan
2,h,522500.0,10.5,2.0,1.0,1.0,220.0,101.0,1995.0,Western Metropolitan
4,h,680000.0,10.5,4.0,2.0,2.0,554.0,140.0,1960.0,Western Metropolitan
3,h,875000.0,10.5,3.0,1.0,3.0,812.0,117.0,1960.0,Western Metropolitan
4,h,762000.0,10.5,4.0,2.0,2.0,589.0,150.0,1961.0,Western Metropolitan
2,u,411000.0,10.5,2.0,1.0,1.0,0.0,85.0,1995.0,Western Metropolitan
3,h,805000.0,10.5,3.0,2.0,2.0,593.0,103.0,1970.0,Western Metropolitan
3,h,634000.0,10.5,4.0,2.0,1.0,582.0,153.0,1950.0,Western Metropolitan
4,h,1819000.0,6.6,3.0,2.0,1.0,244.0,180.0,1900.0,Southern Metropolitan
2,u,410000.0,6.6,2.0,1.0,2.0,0.0,61.0,1965.0,Southern Metropolitan
2,t,1015000.0,6.6,2.0,1.0,2.0,114.0,120.0,2000.0,Southern Metropolitan
2,u,502500.0,6.6,2.0,1.0,1.0,0.0,65.0,1960.0,Southern Metropolitan
2,u,520000.0,6.6,2.0,1.0,0.0,0.0,58.0,1970.0,Southern Metropolitan
2,u,442000.0,6.6,2.0,1.0,1.0,0.0,61.0,1960.0,Southern Metropolitan
3,h,1193000.0,6.6,3.0,1.0,1.0,178.0,100.0,1920.0,Southern Metropolitan
2,u,416000.0,6.6,2.0,1.0,1.0,0.0,49.0,1960.0,Southern Metropolitan
2,u,474000.0,6.6,2.0,1.0,1.0,0.0,59.0,1970.0,Southern Metropolitan
2,h,981000.0,6.6,2.0,1.0,0.0,159.0,84.0,1930.0,Southern Metropolitan
3,h,1690000.0,6.6,3.0,2.0,2.0,339.0,159.0,1890.0,Southern Metropolitan
2,u,540000.0,6.6,2.0,1.0,1.0,483.0,51.0,1970.0,Southern Metropolitan
2,h,2100000.0,9.7,2.0,1.0,1.0,659.0,123.0,1920.0,Southern Metropolitan
4,h,1800000.0,9.7,4.0,2.0,2.0,715.0,218.0,1985.0,Southern Metropolitan
2,t,1255000.0,9.7,2.0,1.0,1.0,208.0,129.0,2000.0,Southern Metropolitan
