id,A,B,C,D,Quality,Unit
22,4.6,3.6,1.0,0.2,Reject,SP
476,6.7,3.3,5.7,2.5,Refurbish,BH
647,4.8,3.4,1.6,0.2,Reject,SP
441,5.7,4.4,1.5,0.4,Reject,SP
481,5.2,3.5,1.5,0.2,Reject,SP
544,5.1,3.4,1.5,0.2,Reject,BH
252,5.7,2.5,5.0,2.0,Refurbish,SP
604,7.7,3.0,6.1,2.3,Refurbish,BH
309,6.1,3.0,4.9,1.8,Refurbish,SP
363,5.5,3.5,1.3,0.2,Reject,SP
520,6.3,3.4,5.6,2.4,Refurbish,SP
588,5.5,2.6,4.4,1.2,Accept,SP
531,6.3,3.4,5.6,2.4,Refurbish,SP
100,6.3,3.3,6.0,2.5,Refurbish,RJ
26,5.0,3.4,1.6,0.4,Reject,SP
60,5.0,2.0,3.5,1.0,Accept,BH
133,6.3,2.8,5.1,1.5,Refurbish,BH
212,6.5,2.8,4.6,1.5,Accept,BH
503,5.6,2.5,3.9,1.1,Accept,SP
489,6.5,3.0,5.8,2.2,Refurbish,SP
618,5.8,4.0,1.2,0.2,Reject,BH
337,7.3,2.9,6.3,1.8,Refurbish,SP
9,4.9,3.1,1.5,0.1,Reject,RJ
544,5.1,3.4,1.5,0.2,Reject,BH
141,6.9,3.1,5.1,2.3,Refurbish,SP
510,5.1,3.5,1.4,0.2,Reject,SP
44,5.1,3.8,1.9,0.4,Reject,SP
583,5.5,,3.7,1.0,Accept,BH
292,7.7,3.8,6.7,2.2,Refurbish,SP
200,5.5,2.6,4.4,1.2,Accept,SP
508,6.0,3.0,4.8,1.8,Refurbish,RJ
26,5.0,3.4,1.6,0.4,Reject,SP
408,6.5,3.2,5.1,2.0,Refurbish,BH
148,6.2,3.4,5.4,2.3,Refurbish,SP
62,6.0,2.2,4.0,1.0,Accept,RJ
172,7.0,3.2,4.7,1.4,Accept,BH
372,5.0,3.5,1.6,,Reject,RJ
32,5.2,4.1,1.5,0.1,Reject,BH
598,5.0,3.4,1.6,0.4,Reject,SP
551,5.1,3.5,1.4,0.2,Reject,SP
32,5.2,4.1,1.5,0.1,Reject,BH
471,5.0,3.3,1.4,0.2,Reject,BH
344,4.8,3.1,1.6,0.2,Reject,BH
380,4.5,2.3,1.3,0.3,Reject,BH
341,5.1,2.5,3.0,1.1,Accept,RJ
307,7.7,2.6,6.9,2.3,Refurbish,SP
90,5.5,2.6,4.4,1.2,Accept,SP
207,6.8,2.8,4.8,1.4,Accept,BH
348,6.0,3.0,4.8,1.8,Refurbish,RJ
489,6.5,3.0,5.8,2.2,Refurbish,SP
17,5.1,3.5,1.4,0.3,Reject,BH
435,5.5,2.5,4.0,1.3,Accept,SP
13,4.3,3.0,1.1,0.1,Reject,RJ
607,5.1,3.8,1.6,0.2,Reject,BH
63,6.1,2.9,4.7,1.4,Accept,SP
297,5.3,3.7,1.5,0.2,Reject,SP
13,4.3,3.0,1.1,0.1,Reject,RJ
608,6.0,2.2,5.0,1.5,Refurbish,BH
60,5.0,2.0,3.5,1.0,Accept,BH
420,4.8,3.4,1.6,0.2,Reject,SP
234,6.0,2.7,5.1,1.6,Accept,SP
198,4.8,3.0,1.4,0.3,Reject,BH
343,5.2,2.7,3.9,1.4,Accept,BH
476,6.7,3.3,5.7,2.5,Refurbish,BH
12,4.8,3.0,1.4,0.1,Reject,BH
367,6.3,3.3,4.7,1.6,Accept,SP
622,5.9,3.0,4.2,1.5,Accept,BH
394,5.5,,3.8,1.1,Accept,RJ
35,5.0,3.2,1.2,0.2,Reject,SP
213,6.7,2.5,5.8,1.8,Refurbish,RJ
220,5.1,3.5,1.4,0.3,Reject,BH
72,6.3,2.5,4.9,1.5,Accept,BH
217,5.0,3.0,1.6,0.2,Reject,RJ
34,4.9,3.1,1.5,0.1,Reject,SP
267,7.6,3.0,6.6,2.1,Refurbish,RJ
601,4.8,3.4,1.9,0.2,Reject,BH
504,6.5,2.8,4.6,1.5,Accept,BH
473,5.5,4.2,1.4,0.2,Reject,RJ
597,6.6,2.9,4.6,1.3,Accept,SP
221,5.1,3.5,1.4,0.2,Reject,SP
94,5.6,2.7,4.2,1.3,Accept,RJ
226,5.5,4.2,1.4,0.2,Reject,RJ
149,5.9,3.0,5.1,1.8,Refurbish,SP
162,6.8,2.8,4.8,1.4,Accept,BH
541,6.7,3.3,5.7,2.1,Refurbish,RJ
426,4.9,2.5,4.5,1.7,Refurbish,BH
332,6.2,2.9,4.3,1.3,Accept,RJ
502,6.5,3.0,5.2,2.0,Refurbish,SP
167,6.3,2.9,5.6,1.8,Refurbish,BH
245,4.8,3.0,1.4,0.3,Reject,BH
231,5.5,3.5,1.3,0.2,Reject,SP
277,7.2,3.6,6.1,2.5,Refurbish,SP
94,5.6,2.7,4.2,1.3,Accept,RJ
553,6.0,3.4,4.5,1.6,Accept,SP
34,4.9,3.1,1.5,0.1,Reject,SP
278,5.0,3.3,1.4,0.2,Reject,BH
292,7.7,3.8,6.7,2.2,Refurbish,SP
602,6.3,3.3,6.0,2.5,Refurbish,RJ
564,5.1,3.8,1.5,0.3,Reject,BH
265,5.5,2.6,4.4,1.2,Accept,SP
403,5.7,2.9,4.2,1.3,Accept,BH
325,4.9,3.1,1.5,0.1,Reject,SP
438,6.3,2.3,4.4,1.3,Accept,BH
26,5.0,3.4,1.6,0.4,Reject,SP
436,7.9,3.8,6.4,2.0,Refurbish,BH
299,5.5,2.3,4.0,1.3,Accept,RJ
434,6.5,3.2,5.1,2.0,Refurbish,BH
320,6.1,2.9,4.7,1.4,Accept,SP
455,6.1,2.8,4.0,1.3,Accept,RJ
474,7.9,3.8,6.4,2.0,Refurbish,BH
160,6.3,2.3,4.4,1.3,Accept,BH
590,5.5,2.3,4.0,1.3,Accept,RJ
634,4.6,3.4,1.4,0.3,Reject,RJ
282,6.3,2.8,5.1,1.5,Refurbish,BH
259,5.1,3.7,1.5,0.4,Reject,BH
277,7.2,3.6,6.1,2.5,Refurbish,SP
622,5.9,3.0,4.2,1.5,Accept,BH
500,4.8,3.4,1.9,0.2,Reject,BH
634,4.6,3.4,1.4,0.3,Reject,RJ
493,6.8,3.0,5.5,2.1,Refurbish,SP
6,4.6,3.4,1.4,0.3,Reject,RJ
316,5.1,3.8,1.9,0.4,Reject,SP
205,5.5,3.5,1.3,0.2,Reject,SP
374,4.3,3.0,1.1,0.1,Reject,RJ
621,6.9,3.2,5.7,2.3,Refurbish,RJ
551,5.1,3.5,1.4,0.2,Reject,SP
576,4.6,3.1,1.5,0.2,Reject,BH
572,5.7,3.0,4.2,1.2,Accept,RJ
516,6.2,2.9,4.3,1.3,Accept,RJ
42,4.4,3.2,1.3,0.2,Reject,RJ
228,5.4,3.4,1.5,0.4,Reject,SP
125,7.2,3.2,6.0,1.8,Refurbish,BH
405,6.4,2.9,4.3,1.3,Accept,RJ
256,6.7,3.3,5.7,2.5,Refurbish,BH
547,5.2,3.5,1.5,0.2,Reject,SP
77,6.7,3.0,5.0,1.7,Accept,SP
21,5.1,3.7,1.5,0.4,Reject,BH
580,6.1,3.0,4.9,1.8,Refurbish,SP
605,5.6,2.5,3.9,1.1,Accept,SP
69,5.6,2.5,3.9,1.1,Accept,SP
125,7.2,3.2,6.0,1.8,Refurbish,BH
369,6.4,2.9,4.3,1.3,Accept,RJ
425,5.7,4.4,1.5,0.4,Reject,SP
219,6.7,3.1,4.7,1.5,Accept,BH
577,6.0,3.0,4.8,1.8,Refurbish,RJ
223,6.3,3.4,5.6,2.4,Refurbish,SP
455,6.1,2.8,4.0,1.3,Accept,RJ
480,6.5,3.2,5.1,2.0,Refurbish,BH
253,6.4,3.2,5.3,2.3,Refurbish,SP
281,4.4,3.0,1.3,0.2,Reject,SP
627,6.8,3.0,5.5,2.1,Refurbish,SP
538,6.7,3.1,4.4,1.4,Accept,SP
462,5.6,2.7,4.2,1.3,Accept,RJ
485,5.0,3.4,1.6,0.4,Reject,SP
11,4.8,3.4,1.6,0.2,Reject,SP
335,5.8,2.7,5.1,1.9,Refurbish,RJ
245,4.8,3.0,1.4,0.3,Reject,BH
582,4.9,3.0,1.4,0.2,Reject,BH
302,6.3,2.7,4.9,1.8,Refurbish,SP
559,4.9,3.1,1.5,0.1,Reject,SP
248,6.1,2.8,4.7,1.2,Accept,BH
75,6.6,3.0,4.4,1.4,Accept,SP
517,5.2,3.5,1.5,0.2,Reject,SP
470,6.0,2.2,5.0,1.5,Refurbish,BH
463,6.3,2.5,5.0,1.9,Refurbish,RJ
375,6.7,3.0,5.0,1.7,Accept,SP
208,4.4,3.0,1.3,0.2,Reject,SP
444,4.4,3.0,1.3,0.2,Reject,SP
418,5.7,4.4,1.5,0.4,Reject,SP
38,4.4,3.0,1.3,0.2,Reject,SP
50,7.0,3.2,4.7,1.4,Accept,BH
187,5.7,2.9,4.2,1.3,Accept,BH
274,5.0,3.4,1.5,0.2,Reject,SP
191,5.1,3.8,1.9,0.4,Reject,SP
154,6.3,2.7,4.9,1.8,Refurbish,SP
396,5.4,3.4,1.7,0.2,Reject,SP
273,5.6,2.9,3.6,1.3,Accept,BH
292,7.7,3.8,6.7,2.2,Refurbish,SP
519,5.7,2.8,4.1,1.3,Accept,SP
74,6.4,2.9,4.3,1.3,Accept,RJ
611,5.6,3.0,4.5,1.5,Accept,SP
369,6.4,2.9,4.3,1.3,Accept,RJ
482,4.6,3.4,1.4,0.3,Reject,RJ
513,5.2,3.5,1.5,0.2,Reject,SP
245,4.8,3.0,1.4,0.3,Reject,BH
84,5.4,3.0,4.5,1.5,Accept,SP
110,6.5,3.2,5.1,2.0,Refurbish,BH
494,6.3,3.4,5.6,2.4,Refurbish,SP
122,7.7,2.8,6.7,2.0,Refurbish,SP
594,5.7,3.0,4.2,1.2,Accept,RJ
140,6.7,3.1,5.6,2.4,Refurbish,RJ
196,5.6,3.0,4.1,1.3,Accept,SP
625,4.6,3.4,1.4,0.3,Reject,RJ
305,7.6,3.0,6.6,2.1,Refurbish,RJ
260,6.0,2.9,4.5,1.5,Accept,BH
149,5.9,3.0,5.1,1.8,Refurbish,SP
531,6.3,3.4,5.6,2.4,Refurbish,SP
513,5.2,3.5,1.5,0.2,Reject,SP
486,4.6,3.2,1.4,0.2,Reject,BH
325,4.9,3.1,1.5,0.1,Reject,SP
183,5.7,4.4,1.5,0.4,Reject,SP
433,6.8,3.0,5.5,2.1,Refurbish,SP
219,6.7,3.1,4.7,1.5,Accept,BH
331,6.3,2.5,4.9,1.5,Accept,BH
515,6.5,3.0,5.2,2.0,Refurbish,SP
89,5.5,2.5,4.0,1.3,Accept,SP
275,5.2,4.1,1.5,0.1,Reject,BH
496,5.2,2.7,3.9,1.4,Accept,BH
167,6.3,2.9,5.6,1.8,Refurbish,BH
98,5.1,2.5,3.0,1.1,Accept,RJ
262,5.5,,3.8,1.1,Accept,RJ
94,5.6,2.7,4.2,1.3,Accept,RJ
318,7.4,2.8,6.1,1.9,Refurbish,BH
240,7.7,3.0,6.1,2.3,Refurbish,BH
379,4.4,2.9,1.4,0.2,Reject,BH
353,6.3,2.5,4.9,1.5,Accept,BH
640,4.4,2.9,1.4,0.2,Reject,BH
36,5.5,3.5,1.3,0.2,Reject,SP
310,5.1,3.5,1.4,0.2,Reject,SP
334,7.6,3.0,6.6,2.1,Refurbish,RJ
165,6.2,2.9,4.3,1.3,Accept,RJ
345,4.9,3.1,1.5,0.1,Reject,RJ
23,5.1,3.3,1.7,0.5,Reject,BH
365,5.5,2.6,4.4,1.2,Accept,SP
340,6.3,2.8,5.1,1.5,Refurbish,BH
402,5.7,2.6,3.5,1.0,Accept,SP
202,5.6,3.0,4.1,1.3,Accept,SP
345,4.9,3.1,1.5,0.1,Reject,RJ
300,5.0,2.0,3.5,1.0,Accept,BH
219,6.7,3.1,4.7,1.5,Accept,BH
460,6.7,3.1,5.6,2.4,Refurbish,RJ
280,5.9,3.0,5.1,1.8,Refurbish,SP
90,5.5,2.6,4.4,1.2,Accept,SP
88,5.6,3.0,4.1,1.3,Accept,SP
348,6.0,3.0,4.8,1.8,Refurbish,RJ
568,4.9,3.1,1.5,0.1,Reject,SP
384,6.7,3.1,4.4,1.4,Accept,SP
276,6.7,3.3,5.7,2.1,Refurbish,RJ
138,6.0,3.0,4.8,1.8,Refurbish,RJ
361,6.3,3.3,6.0,2.5,Refurbish,RJ
315,4.6,3.1,1.5,0.2,Reject,BH
604,7.7,3.0,6.1,2.3,Refurbish,BH
9,4.9,3.1,1.5,0.1,Reject,RJ
84,5.4,3.0,4.5,1.5,Accept,SP
166,5.5,3.5,1.3,0.2,Reject,SP
492,4.8,3.1,1.6,0.2,Reject,BH
379,4.4,2.9,1.4,0.2,Reject,BH
467,6.4,2.8,5.6,2.2,Refurbish,RJ
96,5.7,2.9,4.2,1.3,Accept,BH
630,6.3,2.3,4.4,1.3,Accept,BH
595,5.6,2.8,4.9,2.0,Refurbish,RJ
545,5.0,3.4,1.6,0.4,Reject,SP
203,5.6,3.0,4.5,1.5,Accept,SP
223,6.3,3.4,5.6,2.4,Refurbish,SP
430,5.2,3.4,1.4,0.2,Reject,BH
241,6.3,2.5,4.9,1.5,Accept,BH
281,4.4,3.0,1.3,0.2,Reject,SP
483,5.6,2.8,4.9,2.0,Refurbish,RJ
608,6.0,2.2,5.0,1.5,Refurbish,BH
268,4.9,,3.3,1.0,Accept,RJ
104,6.5,3.0,5.8,2.2,Refurbish,SP
459,6.0,3.4,4.5,1.6,Accept,SP
629,4.8,3.4,1.6,0.2,Reject,SP
364,6.7,3.0,5.2,2.3,Refurbish,RJ
541,6.7,3.3,5.7,2.1,Refurbish,RJ
344,4.8,3.1,1.6,0.2,Reject,BH
490,6.4,2.8,5.6,2.2,Refurbish,RJ
647,4.8,3.4,1.6,0.2,Reject,SP
404,4.9,3.1,1.5,0.1,Reject,RJ
483,5.6,2.8,4.9,2.0,Refurbish,RJ
451,6.3,2.5,4.9,1.5,Accept,BH
241,6.3,2.5,4.9,1.5,Accept,BH
535,5.3,3.7,1.5,0.2,Reject,SP
265,5.5,2.6,4.4,1.2,Accept,SP
15,5.7,4.4,1.5,0.4,Reject,SP
141,6.9,3.1,5.1,2.3,Refurbish,SP
156,5.0,3.5,1.6,,Reject,RJ
82,5.8,2.7,3.9,1.2,Accept,BH
412,4.4,3.2,1.3,0.2,Reject,RJ
496,5.2,2.7,3.9,1.4,Accept,BH
71,6.1,2.8,4.0,1.3,Accept,RJ
113,5.7,2.5,5.0,2.0,Refurbish,SP
453,4.6,3.4,1.4,0.3,Reject,RJ
66,5.6,3.0,4.5,1.5,Accept,SP
286,5.4,3.9,1.3,0.4,Reject,BH
275,5.2,4.1,1.5,0.1,Reject,BH
442,4.8,3.0,1.4,0.3,Reject,BH
171,5.4,3.4,1.5,0.4,Reject,SP
156,5.0,3.5,1.6,,Reject,RJ
307,7.7,2.6,6.9,2.3,Refurbish,SP
218,4.9,3.1,1.5,0.1,Reject,SP
424,5.5,4.2,1.4,0.2,Reject,RJ
208,4.4,3.0,1.3,0.2,Reject,SP
222,4.8,3.4,1.6,0.2,Reject,SP
278,5.0,3.3,1.4,0.2,Reject,BH
88,5.6,3.0,4.1,1.3,Accept,SP
419,6.2,3.4,5.4,2.3,Refurbish,SP
599,6.6,2.9,4.6,1.3,Accept,SP
225,4.6,3.1,1.5,0.2,Reject,BH
254,6.5,3.0,5.2,2.0,Refurbish,SP
572,5.7,3.0,4.2,1.2,Accept,RJ
18,5.7,3.8,1.7,0.3,Reject,RJ
575,5.5,4.2,1.4,0.2,Reject,RJ
556,5.0,3.2,1.2,0.2,Reject,SP
298,4.8,3.4,1.6,0.2,Reject,SP
24,4.8,3.4,1.9,0.2,Reject,BH
260,6.0,2.9,4.5,1.5,Accept,BH
584,5.9,3.0,5.1,1.8,Refurbish,SP
54,6.5,2.8,4.6,1.5,Accept,BH
52,6.9,3.1,4.9,1.5,Accept,SP
366,6.2,2.9,4.3,1.3,Accept,RJ
332,6.2,2.9,4.3,1.3,Accept,RJ
44,5.1,3.8,1.9,0.4,Reject,SP
253,6.4,3.2,5.3,2.3,Refurbish,SP
432,6.4,3.1,5.5,1.8,Refurbish,BH
501,7.2,3.2,6.0,1.8,Refurbish,BH
530,4.4,3.2,1.3,0.2,Reject,RJ
158,6.0,2.9,4.5,1.5,Accept,BH
510,5.1,3.5,1.4,0.2,Reject,SP
244,6.7,3.0,5.2,2.3,Refurbish,RJ
161,6.0,2.7,5.1,1.6,Accept,SP
277,7.2,3.6,6.1,2.5,Refurbish,SP
453,4.6,3.4,1.4,0.3,Reject,RJ
501,7.2,3.2,6.0,1.8,Refurbish,BH
153,5.0,3.5,1.3,0.3,Reject,BH
571,5.4,3.4,1.5,0.4,Reject,SP
29,4.7,3.2,1.6,0.2,Reject,SP
174,4.9,3.1,1.5,0.1,Reject,SP
436,7.9,3.8,6.4,2.0,Refurbish,BH
47,4.6,3.2,1.4,0.2,Reject,BH
25,5.0,3.0,1.6,0.2,Reject,RJ
382,6.2,2.2,4.5,1.5,Accept,RJ
110,6.5,3.2,5.1,2.0,Refurbish,BH
33,5.5,4.2,1.4,0.2,Reject,RJ
481,5.2,3.5,1.5,0.2,Reject,SP
564,5.1,3.8,1.5,0.3,Reject,BH
567,6.5,3.0,5.8,2.2,Refurbish,SP
536,6.9,3.1,5.1,2.3,Refurbish,SP
135,7.7,3.0,6.1,2.3,Refurbish,BH
430,5.2,3.4,1.4,0.2,Reject,BH
569,6.7,3.1,5.6,2.4,Refurbish,RJ
20,5.4,3.4,1.7,0.2,Reject,SP
250,5.7,3.8,1.7,0.3,Reject,RJ
49,5.0,3.3,1.4,0.2,Reject,BH
413,5.0,3.2,1.2,0.2,Reject,SP
342,5.8,2.6,4.0,1.2,Accept,BH
15,5.7,4.4,1.5,0.4,Reject,SP
79,5.7,2.6,3.5,1.0,Accept,SP
491,5.1,3.3,1.7,0.5,Reject,BH
480,6.5,3.2,5.1,2.0,Refurbish,BH
310,5.1,3.5,1.4,0.2,Reject,SP
161,6.0,2.7,5.1,1.6,Accept,SP
605,5.6,2.5,3.9,1.1,Accept,SP
